,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
658,CHEMBL2387603,O=c1[nH]c2cc(-c3cccs3)ccc2c2[nH]c(-c3ccccc3Cl)nc12,active,377.8560000000001,5.453300000000003,2.0,3.0,7.6777807052660805
659,CHEMBL2387604,O=c1[nH]c2cc(-c3ccco3)ccc2c2[nH]c(-c3ccccc3Cl)nc12,active,361.788,4.984800000000002,2.0,3.0,7.657577319177793
660,CHEMBL2387605,O=c1[nH]c2cc(-c3cccnc3)ccc2c2[nH]c(-c3ccccc3Cl)nc12,active,372.81500000000005,4.786800000000001,2.0,3.0,6.041914151478915
661,CHEMBL2387606,O=c1[nH]c2cc(-c3ccncc3)ccc2c2[nH]c(-c3ccccc3Cl)nc12,intermediate,372.81500000000005,4.786800000000001,2.0,3.0,5.947690900352677
662,CHEMBL2387500,Cc1cccc(Cl)c1-c1nc2c(=O)[nH]c3cc(-c4ccccc4)ccc3c2[nH]1,active,385.85400000000004,5.700220000000003,2.0,2.0,7.920818753952375
663,CHEMBL2387501,O=c1[nH]c2cc(-c3ccccc3)ccc2c2[nH]c(-c3c(Cl)cccc3C(F)(F)F)nc12,active,439.8240000000001,6.410600000000003,2.0,2.0,7.920818753952375
664,CHEMBL2387502,O=c1[nH]c2cc(-c3ccccc3)ccc2c2[nH]c(-c3c(Cl)cccc3[N+](=O)[O-])nc12,active,416.8240000000002,5.3000000000000025,2.0,4.0,8.0
665,CHEMBL2387503,O=c1[nH]c2cc(-c3ccccc3)ccc2c2[nH]c(-c3c(F)cccc3Cl)nc12,active,389.8170000000001,5.530900000000003,2.0,2.0,8.387216143280265
666,CHEMBL2387504,Cc1ccccc1-c1ccc2c(c1)[nH]c(=O)c1nc(-c3c(F)cccc3Cl)[nH]c12,active,403.8440000000001,5.8393200000000025,2.0,2.0,8.00436480540245
667,CHEMBL2315853,O=C(N[C@H]1CCC[C@@H]1OCc1ccccc1)C1CCN(c2nc3cc(Cl)ccc3o2)CC1,active,453.9700000000003,4.951700000000004,1.0,5.0,8.1249387366083
668,CHEMBL2315861,O=C(N[C@H]1CC[C@@H](CO)CC1)C1CCN(c2nc3cc(Cl)ccc3o2)CC1,active,391.89900000000017,3.3649000000000013,2.0,5.0,6.657577319177793
669,CHEMBL2391292,NC(=O)c1ccc2oc(N3CCC(C(=O)N[C@H]4CCC[C@H](CO)C4)CC3)nc2c1,inactive,400.4790000000002,1.8103999999999993,3.0,6.0,4.301029995663981
670,CHEMBL2391291,CCS(=O)(=O)c1ccc2oc(N3CCC(C(=O)N[C@H]4CCC[C@H](CO)C4)CC3)nc2c1,inactive,449.57300000000026,2.5051000000000005,2.0,7.0,4.301029995663981
671,CHEMBL2391292,NC(=O)c1ccc2oc(N3CCC(C(=O)N[C@H]4CCC[C@H](CO)C4)CC3)nc2c1,inactive,400.4790000000002,1.8103999999999993,3.0,6.0,4.481486060122112
672,CHEMBL2391291,CCS(=O)(=O)c1ccc2oc(N3CCC(C(=O)N[C@H]4CCC[C@H](CO)C4)CC3)nc2c1,inactive,449.57300000000026,2.5051000000000005,2.0,7.0,4.481486060122112
673,CHEMBL2391290,N#Cc1ccc2oc(N3CCC(C(=O)N[C@H]4CCC[C@H](CO)C4)CC3)nc2c1,intermediate,382.46400000000017,2.5831800000000005,2.0,6.0,5.008773924307505
674,CHEMBL2325081,O=C(N[C@H]1CCC[C@@H](CO)C1)C1CCN(c2nc3cc(Cl)ccc3o2)CC1,intermediate,391.89900000000017,3.3649000000000013,2.0,5.0,5.170696227168975
675,CHEMBL2391290,N#Cc1ccc2oc(N3CCC(C(=O)N[C@H]4CCC[C@H](CO)C4)CC3)nc2c1,intermediate,382.46400000000017,2.5831800000000005,2.0,6.0,5.2441251443275085
676,CHEMBL2391288,O=C(N[C@@H]1CCC[C@@H](CO)C1)C1CCN(c2nc3cc(Cl)ccc3o2)CC1,intermediate,391.89900000000017,3.3649000000000013,2.0,5.0,5.314258261397736
677,CHEMBL2315860,O=C(N[C@H]1CC[C@H](CO)CC1)C1CCN(c2nc3cc(Cl)ccc3o2)CC1,intermediate,391.89900000000017,3.3649000000000013,2.0,5.0,5.441291429466834
678,CHEMBL2315877,O=C(NC1CCCC1)C1CCN(c2nc3cc(Cl)ccc3o2)CC1,active,347.8460000000002,3.756400000000003,1.0,4.0,6.070581074285707
679,CHEMBL2391296,CC(C)Cc1cc2oc(N3CCC(C(=O)N[C@H]4CCC[C@H](CO)C4)CC3)nc2cc1Cl,active,448.0070000000003,4.563400000000004,2.0,5.0,6.118615343229427
680,CHEMBL2391289,O=C(N[C@H]1CCC[C@H](CO)C1)C1CCN(c2nc3cc(Br)ccc3o2)CC1,active,436.35000000000014,3.474000000000002,2.0,5.0,6.118615343229427
681,CHEMBL2391297,O=C(N[C@H]1CCC[C@H](CO)C1)C1CCN(c2nc3cc(Cl)c(Cl)cc3o2)CC1,active,426.3440000000002,4.018300000000003,2.0,5.0,6.164943898279883
682,CHEMBL2391293,O=C(N[C@H]1CCC[C@H](CO)C1)C1CCN(c2nc3cc(C(F)(F)F)ccc3o2)CC1,active,425.45100000000014,3.7303000000000024,2.0,5.0,6.292429823902063
683,CHEMBL2325080,O=C(N[C@H]1CCC[C@H](CO)C1)C1CCN(c2nc3cc(Cl)ccc3o2)CC1,active,391.89900000000017,3.3649000000000013,2.0,5.0,6.468521082957745
684,CHEMBL2325084,Cc1cc2oc(N3CCC(C(=O)N[C@H]4CCC[C@H](CO)C4)CC3)nc2cc1Cl,active,405.9260000000003,3.673320000000003,2.0,5.0,6.471083299722345
685,CHEMBL2391298,O=C(N[C@H]1CCC[C@H](CO)C1)C1CCN(c2nc3cc(Cl)c(C(F)F)cc3o2)CC1,active,441.9060000000002,4.302500000000003,2.0,5.0,6.4736607226101555
686,CHEMBL2391295,CC(C)c1cc2oc(N3CCC(C(=O)N[C@H]4CCC[C@H](CO)C4)CC3)nc2cc1Cl,active,433.98000000000025,4.488300000000003,2.0,5.0,6.583359492661719
687,CHEMBL2391140,O=C(N[C@H]1CCC[C@H](CO)C1)C1CCN(c2nc3cc(Cl)c(-c4cccc(Cl)c4)cc3o2)CC1,active,502.4420000000003,5.685300000000004,2.0,5.0,6.619788758288394
