molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL585763,OC(c1ccc2c(c1)c1cc(Br)ccc1c1nc(-c3c(F)cccc3Cl)[nH]c21)(C(F)(F)F)C(F)(F)F,active,450.0
CHEMBL566262,CC(C)(O)c1ccc2c(c1)c1cc(Br)ccc1c1nc(-c3c(F)cccc3Cl)[nH]c21,active,280.0
CHEMBL585486,Cc1ccc2c(c1)c1cc(C)ccc1c1[nH]c(-c3c(F)cccc3Cl)nc21,intermediate,1100.0
CHEMBL565831,CC(=O)c1ccc2c(c1)c1cc(C(C)=O)ccc1c1[nH]c(-c3c(F)cccc3Cl)nc21,inactive,50000.0
CHEMBL568366,CC(C)(O)c1ccc2c(c1)c1cc(C(O)(C(F)(F)F)C(F)(F)F)ccc1c1[nH]c(-c3c(F)cccc3Cl)nc21,intermediate,2300.0
CHEMBL412099,N#Cc1cccc(C#N)c1-c1nc2c3ccc(Cl)cc3c3ccccc3c2[nH]1,active,420.0
CHEMBL584930,CC(C)(O)c1ccc2c(c1)c1cc(Cl)ccc1c1nc(-c3c(C#N)cccc3C#N)[nH]c21,active,34.0
CHEMBL568546,CS(=O)(=O)c1ccc2c(c1)c1cc(Cl)ccc1c1nc(-c3c(C#N)cccc3C#N)[nH]c21,active,110.0
CHEMBL585116,N#CCCCOc1ccc2c(c1)c1cc(Cl)ccc1c1nc(-c3c(C#N)cccc3C#N)[nH]c21,active,38.0
CHEMBL585690,N#Cc1cccc(C#N)c1-c1nc2c3ccc(Cl)cc3c3cc(OCCn4cccc4)ccc3c2[nH]1,active,21.0
CHEMBL585295,CS(=O)(=O)c1ccc(-c2ccc3c(c2)c2cc(Cl)ccc2c2nc(-c4c(C#N)cccc4C#N)[nH]c32)cc1,active,45.0
CHEMBL585857,COCC#Cc1ccc2c(c1)c1cc(Cl)ccc1c1nc(-c3c(C#N)cccc3C#N)[nH]c21,active,60.0
CHEMBL568565,N#Cc1cccc(C#N)c1-c1nc2c3ccc(Cl)cc3c3cc(C#Cc4cccnc4)ccc3c2[nH]1,active,57.0
CHEMBL567714,N#Cc1cccc(C#N)c1-c1nc2c3ccc(Cl)cc3c3cc(C#Cc4ccncc4)ccc3c2[nH]1,active,75.0
CHEMBL483900,CC(C)(O)C#Cc1ccc2c(c1)c1cc(Cl)ccc1c1nc(-c3c(C#N)cccc3C#N)[nH]c21,active,13.0
CHEMBL585134,N#Cc1cccc(C#N)c1-c1nc2c3ccc(Cl)cc3c3cc(C#CC4(O)CCCC4)ccc3c2[nH]1,active,27.0
CHEMBL490461,CCOC(=O)c1c(Cc2cccc(Cl)c2)[nH]c2c1cc(O)c1ccccc12,intermediate,2000.0
CHEMBL523292,CCOC(=O)c1c(Cc2ccccc2Cl)[nH]c2c1cc(O)c1ccccc12,inactive,20500.0
CHEMBL490460,CCOC(=O)c1c(Nc2cccc(Cl)c2)[nH]c2c1cc(O)c1ccccc12,intermediate,7900.0
CHEMBL523292,CCOC(=O)c1c(Cc2ccccc2Cl)[nH]c2c1cc(O)c1ccccc12,active,100.0
CHEMBL521164,CCOC(=O)c1c(Cc2cccc(Br)c2)[nH]c2c1cc(O)c1ccccc12,active,200.0
CHEMBL519508,CCOC(=O)c1c(Cc2cccc(F)c2)[nH]c2c1cc(O)c1ccccc12,active,500.0
CHEMBL490461,CCOC(=O)c1c(Cc2cccc(Cl)c2)[nH]c2c1cc(O)c1ccccc12,active,600.0
CHEMBL520317,CCOC(=O)c1c(Cc2cccc(OC)c2)[nH]c2c1cc(O)c1ccccc12,active,600.0
CHEMBL490460,CCOC(=O)c1c(Nc2cccc(Cl)c2)[nH]c2c1cc(O)c1ccccc12,intermediate,1600.0
CHEMBL527421,CCOC(=O)c1c(Cc2cccc(Cl)c2)[nH]c2c1cc(O)c1cc(OC)c(OC)cc12,intermediate,1700.0
CHEMBL29097,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,intermediate,2000.0
CHEMBL595040,CCOC(=O)c1c(Cc2cccc(Cl)c2)[nH]c2c1cc(O)c1ccc(-c3ccccc3)cc12,intermediate,2800.0
CHEMBL605093,CCOC(=O)c1c(Cc2cccc(Cl)c2)n(-c2ccc(-c3ccccc3)cc2)c2ccc(O)cc12,intermediate,3100.0
CHEMBL490656,CCOC(=O)c1c(Cc2ccc(Cl)cc2)[nH]c2c1cc(O)c1ccccc12,intermediate,3400.0
CHEMBL519337,CCOC(=O)c1c(-c2cccc(Cl)c2)[nH]c2c1cc(O)c1ccccc12,intermediate,9200.0
CHEMBL1086610,O=C(Nc1ccc(CCc2ccc(Cl)c(Cl)c2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1,active,460.0
CHEMBL1086610,O=C(Nc1ccc(CCc2ccc(Cl)c(Cl)c2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1,active,110.0
CHEMBL1086611,O=C(Nc1ccc(-c2ccc(Cl)cc2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1,active,290.0
CHEMBL1086612,O=C(Nc1ccc(Oc2ccc(Cl)cc2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1,active,530.0
CHEMBL1088299,O=C(Nc1ccc(Nc2ccc(Cl)cc2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1,active,150.0
CHEMBL1088300,O=C(Nc1ccc(C(=O)c2ccc(Cl)cc2)c(Cl)c1)C1=C(O)c2ccccc2S(=O)(=O)N1,active,110.0
CHEMBL1088301,O=C(Nc1cccc(C(=O)c2ccc(Cl)cc2)c1)C1=C(O)c2ccccc2S(=O)(=O)N1,intermediate,3910.0
CHEMBL1088302,O=C(Nc1ccc(-c2cccc(Cl)c2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1,active,860.0
CHEMBL1087143,Cc1ccc(-c2ccc(NC(=O)C3=C(O)c4ccccc4S(=O)(=O)N3)cc2)cc1,active,70.0
CHEMBL1087266,N#Cc1ccc(-c2ccc(NC(=O)C3=C(O)c4ccccc4S(=O)(=O)N3)cc2)cc1,intermediate,3960.0
CHEMBL1076742,O=C(Nc1ccc(-c2ccccc2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1,intermediate,3130.0
CHEMBL1087267,O=C(Nc1ccc(-c2ccc(Cl)c(Cl)c2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1,active,16.0
CHEMBL1086757,O=C(Nc1ccc(-c2cccc(Cl)c2Cl)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1,active,38.0
CHEMBL1086883,O=C(Nc1ccc(-c2ccc(Cl)cc2Cl)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1,active,43.0
CHEMBL1086884,Cc1ccc(-c2ccc(NC(=O)C3=C(O)c4ccccc4S(=O)(=O)N3)cc2)cc1C,active,26.0
CHEMBL1076751,Cc1cccc(-c2ccc(NC(=O)C3=C(O)c4ccccc4S(=O)(=O)N3)cc2)c1C,active,1000.0
CHEMBL1082014,COc1ccc(-c2ccc(NC(=O)C3=C(O)c4ccccc4S(=O)(=O)N3)cc2)cc1OC,inactive,32200.0
CHEMBL1082015,O=C(Nc1ccc(-c2ccc(Cl)c(Cl)c2)nc1)C1=C(O)c2ccccc2S(=O)(=O)N1,active,160.0
